Column_0,Year,Value
,2012,Sat
Avg Daily NonTapped Entries,2012,0
Avg Daily Tapped Entries,2012,326892.0576923077
,Column_2,Sun
Avg Daily NonTapped Entries,Column_2,0
Avg Daily Tapped Entries,Column_2,212208.54716981133
,2013,Sat
Avg Daily NonTapped Entries,2013,0
Avg Daily Tapped Entries,2013,325400.96153846156
,Column_4,Sun
Avg Daily NonTapped Entries,Column_4,0
Avg Daily Tapped Entries,Column_4,216737.5
,2014,Sat
Avg Daily NonTapped Entries,2014,0
Avg Daily Tapped Entries,2014,327270.75
,Column_6,Sun
Avg Daily NonTapped Entries,Column_6,0
Avg Daily Tapped Entries,Column_6,220563.01923076922
,2015,Sat
Avg Daily NonTapped Entries,2015,0
Avg Daily Tapped Entries,2015,303999.8461538461
,Column_8,Sun
Avg Daily NonTapped Entries,Column_8,0
Avg Daily Tapped Entries,Column_8,206989.78846153847
,2016,Sat
Avg Daily NonTapped Entries,2016,0
Avg Daily Tapped Entries,2016,243697.05660377358
,Column_10,Sun
Avg Daily NonTapped Entries,Column_10,0
Avg Daily Tapped Entries,Column_10,172901.28846153847
,2017,Sat
Avg Daily NonTapped Entries,2017,0
Avg Daily Tapped Entries,2017,255019.51923076922
,Column_12,Sun
Avg Daily NonTapped Entries,Column_12,0
Avg Daily Tapped Entries,Column_12,169776.69811320756
,2018,Sat
Avg Daily NonTapped Entries,2018,0
Avg Daily Tapped Entries,2018,238554.92307692306
,Column_14,Sun
Avg Daily NonTapped Entries,Column_14,0
Avg Daily Tapped Entries,Column_14,160285.0576923077
,2019,Sat
Avg Daily NonTapped Entries,2019,0
Avg Daily Tapped Entries,2019,262014.84615384616
,Column_16,Sun
Avg Daily NonTapped Entries,Column_16,0
Avg Daily Tapped Entries,Column_16,171140.9423076923
,2020,Sat
Avg Daily NonTapped Entries,2020,0
Avg Daily Tapped Entries,2020,76932.86538461539
,Column_18,Sun
Avg Daily NonTapped Entries,Column_18,0
Avg Daily Tapped Entries,Column_18,54779.307692307695
,2021,Sat
Avg Daily NonTapped Entries,2021,0
Avg Daily Tapped Entries,2021,99769.94230769231
,Column_20,Sun
Avg Daily NonTapped Entries,Column_20,0
Avg Daily Tapped Entries,Column_20,73086.73076923077
,2022,Sat
Avg Daily NonTapped Entries,2022,0
Avg Daily Tapped Entries,2022,157856.320754717
,Column_22,Sun
Avg Daily NonTapped Entries,Column_22,0
Avg Daily Tapped Entries,Column_22,112663.67307692308
,2023,Sat
Avg Daily NonTapped Entries,2023,30739.634615384617
Avg Daily Tapped Entries,2023,213971.88461538462
,Column_24,Sun
Avg Daily NonTapped Entries,Column_24,25378.150943396227
Avg Daily Tapped Entries,Column_24,157683.71698113208
,2024,Sat
Avg Daily NonTapped Entries,2024,13471.26923076923
Avg Daily Tapped Entries,2024,257482.61538461538
,Column_26,Sun
Avg Daily NonTapped Entries,Column_26,11608.26923076923
Avg Daily Tapped Entries,Column_26,193163.84615384616
,2025,Sat
Avg Daily NonTapped Entries,2025,10173.8
Avg Daily Tapped Entries,2025,235586.5
,Column_28,Sun
Avg Daily NonTapped Entries,Column_28,8476.5
Avg Daily Tapped Entries,Column_28,177429.7
