Column_0,Year,Value
,2012,January
Avg Daily NonTapped Entries,2012,0
Avg Daily Tapped Entries,2012,531569.9354838709
,Column_2,February
Avg Daily NonTapped Entries,Column_2,0
Avg Daily Tapped Entries,Column_2,571232.4827586206
,Column_3,March
Avg Daily NonTapped Entries,Column_3,0
Avg Daily Tapped Entries,Column_3,631395.5483870967
,Column_4,April
Avg Daily NonTapped Entries,Column_4,0
Avg Daily Tapped Entries,Column_4,629739.0666666667
,Column_5,May
Avg Daily NonTapped Entries,Column_5,0
Avg Daily Tapped Entries,Column_5,611968.8387096775
,Column_6,June
Avg Daily NonTapped Entries,Column_6,0
Avg Daily Tapped Entries,Column_6,646438.7333333333
,Column_7,July
Avg Daily NonTapped Entries,Column_7,0
Avg Daily Tapped Entries,Column_7,609003.0322580645
,Column_8,August
Avg Daily NonTapped Entries,Column_8,0
Avg Daily Tapped Entries,Column_8,585781.2258064516
,Column_9,September
Avg Daily NonTapped Entries,Column_9,0
Avg Daily Tapped Entries,Column_9,552154.0333333333
,Column_10,October
Avg Daily NonTapped Entries,Column_10,0
Avg Daily Tapped Entries,Column_10,559123.5483870967
,Column_11,November
Avg Daily NonTapped Entries,Column_11,0
Avg Daily Tapped Entries,Column_11,537218.8333333334
,Column_12,December
Avg Daily NonTapped Entries,Column_12,0
Avg Daily Tapped Entries,Column_12,470760.03225806454
,2013,January
Avg Daily NonTapped Entries,2013,0
Avg Daily Tapped Entries,2013,557697.7741935484
,Column_14,February
Avg Daily NonTapped Entries,Column_14,0
Avg Daily Tapped Entries,Column_14,559546.8214285715
,Column_15,March
Avg Daily NonTapped Entries,Column_15,0
Avg Daily Tapped Entries,Column_15,575006.0322580645
,Column_16,April
Avg Daily NonTapped Entries,Column_16,0
Avg Daily Tapped Entries,Column_16,655595.3
,Column_17,May
Avg Daily NonTapped Entries,Column_17,0
Avg Daily Tapped Entries,Column_17,594357.4516129033
,Column_18,June
Avg Daily NonTapped Entries,Column_18,0
Avg Daily Tapped Entries,Column_18,596880.4333333333
,Column_19,July
Avg Daily NonTapped Entries,Column_19,0
Avg Daily Tapped Entries,Column_19,625650.8387096775
,Column_20,August
Avg Daily NonTapped Entries,Column_20,0
Avg Daily Tapped Entries,Column_20,577997.6774193548
,Column_21,September
Avg Daily NonTapped Entries,Column_21,0
Avg Daily Tapped Entries,Column_21,560515.8666666667
,Column_22,October
Avg Daily NonTapped Entries,Column_22,0
Avg Daily Tapped Entries,Column_22,553628.1290322581
,Column_23,November
Avg Daily NonTapped Entries,Column_23,0
Avg Daily Tapped Entries,Column_23,519958.13333333336
,Column_24,December
Avg Daily NonTapped Entries,Column_24,0
Avg Daily Tapped Entries,Column_24,470890.70967741933
,2014,January
Avg Daily NonTapped Entries,2014,0
Avg Daily Tapped Entries,2014,490167.0967741936
,Column_26,February
Avg Daily NonTapped Entries,Column_26,0
Avg Daily Tapped Entries,Column_26,512824.53571428574
,Column_27,March
Avg Daily NonTapped Entries,Column_27,0
Avg Daily Tapped Entries,Column_27,538738.3548387097
,Column_28,April
Avg Daily NonTapped Entries,Column_28,0
Avg Daily Tapped Entries,Column_28,644370.6
,Column_29,May
Avg Daily NonTapped Entries,Column_29,0
Avg Daily Tapped Entries,Column_29,576728.7419354839
,Column_30,June
Avg Daily NonTapped Entries,Column_30,0
Avg Daily Tapped Entries,Column_30,599415.3333333334
,Column_31,July
Avg Daily NonTapped Entries,Column_31,0
Avg Daily Tapped Entries,Column_31,617840.3870967742
,Column_32,August
Avg Daily NonTapped Entries,Column_32,0
Avg Daily Tapped Entries,Column_32,564884.0967741936
,Column_33,September
Avg Daily NonTapped Entries,Column_33,0
Avg Daily Tapped Entries,Column_33,579410.7
,Column_34,October
Avg Daily NonTapped Entries,Column_34,0
Avg Daily Tapped Entries,Column_34,603285.1935483871
,Column_35,November
Avg Daily NonTapped Entries,Column_35,0
Avg Daily Tapped Entries,Column_35,508429.6666666667
,Column_36,December
Avg Daily NonTapped Entries,Column_36,0
Avg Daily Tapped Entries,Column_36,502249.4516129032
,2015,January
Avg Daily NonTapped Entries,2015,0
Avg Daily Tapped Entries,2015,488213.4193548387
,Column_38,February
Avg Daily NonTapped Entries,Column_38,0
Avg Daily Tapped Entries,Column_38,498759.85714285716
,Column_39,March
Avg Daily NonTapped Entries,Column_39,0
Avg Daily Tapped Entries,Column_39,554244.0967741936
,Column_40,April
Avg Daily NonTapped Entries,Column_40,0
Avg Daily Tapped Entries,Column_40,635754.1666666666
,Column_41,May
Avg Daily NonTapped Entries,Column_41,0
Avg Daily Tapped Entries,Column_41,554806.3870967742
,Column_42,June
Avg Daily NonTapped Entries,Column_42,0
Avg Daily Tapped Entries,Column_42,613628.8
,Column_43,July
Avg Daily NonTapped Entries,Column_43,0
Avg Daily Tapped Entries,Column_43,608190.5161290322
,Column_44,August
Avg Daily NonTapped Entries,Column_44,0
Avg Daily Tapped Entries,Column_44,520902.32258064515
,Column_45,September
Avg Daily NonTapped Entries,Column_45,0
Avg Daily Tapped Entries,Column_45,532821.1333333333
,Column_46,October
Avg Daily NonTapped Entries,Column_46,0
Avg Daily Tapped Entries,Column_46,549536.1935483871
,Column_47,November
Avg Daily NonTapped Entries,Column_47,0
Avg Daily Tapped Entries,Column_47,480353.4666666667
,Column_48,December
Avg Daily NonTapped Entries,Column_48,0
Avg Daily Tapped Entries,Column_48,473224.51612903224
,2016,January
Avg Daily NonTapped Entries,2016,0
Avg Daily Tapped Entries,2016,414222.4516129032
,Column_50,February
