Time Period,Column_1,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,Avg Daily Entries,225112,222082,218964,214007,200461,200265,198021,203712,57166,35780,62602,97811,110834,117198
,Avg Daily Entries (copy),225112,222082,218964,214007,200461,200265,198021,203712,57166,35780,62602,97811,110834,117198
,Avg Daily Entries,86468,84578,82485,77237,66020,62123,59584,61946,16239,16633,28742,46994,50707,46194
,Avg Daily Entries (copy),86468,84578,82485,77237,66020,62123,59584,61946,16239,16633,28742,46994,50707,46194
,Avg Daily Entries,3123,2897,2678,2175,759,354,610,782,182,285,891,1499,1561,1425
,Avg Daily Entries (copy),3123,2897,2678,2175,759,354,610,782,182,285,891,1499,1561,1425
,Avg Daily Entries,139222,136264,133186,128871,115167,112999,111074,115028,36186,34936,52704,82745,89386,84844
,Avg Daily Entries (copy),139222,136264,133186,128871,115167,112999,111074,115028,36186,34936,52704,82745,89386,84844
,Avg Daily Entries,248276,244128,239052,234773,220052,220887,219140,227515,62445,46169,79660,126242,142093,145463
,Avg Daily Entries (copy),248276,244128,239052,234773,220052,220887,219140,227515,62445,46169,79660,126242,142093,145463
