Service Type,Year,Value
July 4th Special,"January 2, 2012",
July 4th Special Sked,"January 2, 2012",
Saturday,"January 2, 2012",
Saturday Holiday,"January 2, 2012",
Special(Saturday),"January 2, 2012",
Sunday,"January 2, 2012",189260.0
Sunday Holiday,"January 2, 2012",
Weekday,"January 2, 2012",
July 4th Special,"January 3, 2012",
July 4th Special Sked,"January 3, 2012",
Saturday,"January 3, 2012",
Saturday Holiday,"January 3, 2012",
Special(Saturday),"January 3, 2012",
Sunday,"January 3, 2012",
Sunday Holiday,"January 3, 2012",
Weekday,"January 3, 2012",643144.0
July 4th Special,"January 4, 2012",
July 4th Special Sked,"January 4, 2012",
Saturday,"January 4, 2012",
Saturday Holiday,"January 4, 2012",
Special(Saturday),"January 4, 2012",
Sunday,"January 4, 2012",
Sunday Holiday,"January 4, 2012",
Weekday,"January 4, 2012",666779.0
July 4th Special,"January 5, 2012",
July 4th Special Sked,"January 5, 2012",
Saturday,"January 5, 2012",
Saturday Holiday,"January 5, 2012",
Special(Saturday),"January 5, 2012",
Sunday,"January 5, 2012",
Sunday Holiday,"January 5, 2012",
Weekday,"January 5, 2012",689346.0
July 4th Special,"January 6, 2012",
July 4th Special Sked,"January 6, 2012",
Saturday,"January 6, 2012",
Saturday Holiday,"January 6, 2012",
Special(Saturday),"January 6, 2012",
Sunday,"January 6, 2012",
Sunday Holiday,"January 6, 2012",
Weekday,"January 6, 2012",695774.0
July 4th Special,"January 9, 2012",
July 4th Special Sked,"January 9, 2012",
Saturday,"January 9, 2012",
Saturday Holiday,"January 9, 2012",
Special(Saturday),"January 9, 2012",
Sunday,"January 9, 2012",
Sunday Holiday,"January 9, 2012",
Weekday,"January 9, 2012",665849.0
July 4th Special,"January 10, 2012",
July 4th Special Sked,"January 10, 2012",
Saturday,"January 10, 2012",
Saturday Holiday,"January 10, 2012",
Special(Saturday),"January 10, 2012",
Sunday,"January 10, 2012",
Sunday Holiday,"January 10, 2012",
Weekday,"January 10, 2012",714693.0
July 4th Special,"January 11, 2012",
July 4th Special Sked,"January 11, 2012",
Saturday,"January 11, 2012",
Saturday Holiday,"January 11, 2012",
Special(Saturday),"January 11, 2012",
