Column_0,Entries,Exits
"Tuesday, March 11, 2025",532830,531224
"Monday, March 10, 2025",448775,447657
"Sunday, March 9, 2025",204056,204009
"Saturday, March 8, 2025",270587,270463
"Friday, March 7, 2025",443326,443074
"Thursday, March 6, 2025",492653,491141
"Wednesday, March 5, 2025",485398,483096
"Tuesday, March 4, 2025",507976,506941
"Monday, March 3, 2025",436877,435607
"Sunday, March 2, 2025",183856,184235
"Saturday, March 1, 2025",289918,290129
"Friday, February 28, 2025",421318,420267
"Thursday, February 27, 2025",498403,496680
"Wednesday, February 26, 2025",512554,510341
"Tuesday, February 25, 2025",513640,510965
"Monday, February 24, 2025",431077,430097
"Sunday, February 23, 2025",191879,192449
"Saturday, February 22, 2025",245046,245686
"Friday, February 21, 2025",378902,378789
"Thursday, February 20, 2025",432666,430918
"Wednesday, February 19, 2025",452334,450845
"Tuesday, February 18, 2025",462020,460008
"Monday, February 17, 2025",234803,235096
"Sunday, February 16, 2025",178427,178882
"Saturday, February 15, 2025",229835,229606
"Friday, February 14, 2025",386899,386337
"Thursday, February 13, 2025",463409,461727
"Wednesday, February 12, 2025",236029,235072
"Tuesday, February 11, 2025",344208,343846
"Monday, February 10, 2025",401334,401056
"Sunday, February 9, 2025",184565,184770
"Saturday, February 8, 2025",226852,227467
"Friday, February 7, 2025",394926,394278
"Thursday, February 6, 2025",394740,393366
"Wednesday, February 5, 2025",466967,466211
"Tuesday, February 4, 2025",483214,482616
"Monday, February 3, 2025",378504,378052
"Sunday, February 2, 2025",184614,184921
"Saturday, February 1, 2025",273455,273765
"Friday, January 31, 2025",354551,352555
"Thursday, January 30, 2025",449328,449417
"Wednesday, January 29, 2025",466138,466454
"Tuesday, January 28, 2025",456535,457213
"Monday, January 27, 2025",365225,365541
"Sunday, January 26, 2025",176114,176919
"Saturday, January 25, 2025",239308,240386
"Friday, January 24, 2025",375600,376425
"Thursday, January 23, 2025",421860,423187
"Wednesday, January 22, 2025",412044,413052
"Tuesday, January 21, 2025",410233,411404
"Monday, January 20, 2025",263547,264012
"Sunday, January 19, 2025",236203,236338
"Saturday, January 18, 2025",284571,284902
"Friday, January 17, 2025",348827,349340
"Thursday, January 16, 2025",425811,426043
"Wednesday, January 15, 2025",450780,451671
"Tuesday, January 14, 2025",462757,463422
"Monday, January 13, 2025",380061,380744
"Sunday, January 12, 2025",170283,171230
"Saturday, January 11, 2025",204532,205692
"Friday, January 10, 2025",344675,345279
"Thursday, January 9, 2025",309046,309597
"Wednesday, January 8, 2025",399855,401209
"Tuesday, January 7, 2025",204779,205272
"Monday, January 6, 2025",103707,103499
"Sunday, January 5, 2025",149065,149866
"Saturday, January 4, 2025",193499,194311
"Friday, January 3, 2025",284099,285367
"Thursday, January 2, 2025",300546,301351
"Wednesday, January 1, 2025",130412,130631
"Tuesday, December 31, 2024",284221,283063
"Monday, December 30, 2024",275402,276270
"Sunday, December 29, 2024",168612,170386
"Saturday, December 28, 2024",174125,176119
"Friday, December 27, 2024",239848,242267
"Thursday, December 26, 2024",206840,208483
"Wednesday, December 25, 2024",61690,61876
"Tuesday, December 24, 2024",150711,151746
"Monday, December 23, 2024",256436,258215
"Sunday, December 22, 2024",170401,171244
"Saturday, December 21, 2024",204002,205983
"Friday, December 20, 2024",330521,332730
"Thursday, December 19, 2024",413530,414559
